clip_id,source_path,qa_status,qa_notes
P01_intrusion_positive_r1_daylight_frontal_oblique,E:/SCT_Camera/tmp/intrusion_light_review_20260818_1/89739805317667775775.mp4,ACCEPTED,Daylight IN; one physical doorway crossing
P01_intrusion_negative_r1_low_light_side_oblique,E:/SCT_Camera/tmp/intrusion_daylow_review_20260819_1/58606849029842367887.mp4,ACCEPTED,Low-light OUT; negative for intrusion and positive OUT evidence
P01_intrusion_positive_r2_low_light_side_oblique,E:/SCT_Camera/tmp/intrusion_daylow_review_20260819_1/91014796315081936208.mp4,ACCEPTED,Low-light IN; one physical doorway crossing
P01_intrusion_negative_r2_daylight_frontal_oblique,E:/SCT_Camera/tmp/intrusion_light_review_20260818_1/83103301771838073566.mp4,ACCEPTED,Daylight OUT; negative for intrusion and positive OUT evidence
P01_loitering_positive_r1_daylight_side_oblique,E:/Loitering/20260819004649135_F6B80AMPBVCDD6C_L_0_L0120819004649_1.mp4,ACCEPTED,Daylight continuous dwell above 20-second threshold
P01_loitering_negative_r1_low_light_frontal_oblique,E:/20260819005233907_F6B80AMPBVCDD6C_L_0_L0120819005233_1.mp4,ACCEPTED_SOURCE_MISSING,Accepted low-light single visit below 15 seconds; source must be reattached
P01_loitering_positive_r2_low_light_frontal_oblique,E:/Loitering/20260819004502164_F6B80AMPBVCDD6C_L_0_L0120819004502_1.mp4,ACCEPTED,Low-light continuous dwell above 20-second threshold
P01_loitering_negative_r2_daylight_side_oblique,E:/Loitering/20260819004732425_F6B80AMPBVCDD6C_L_0_L0120819004732_1.mp4,ACCEPTED,Daylight single visit below 15 seconds
P01_suspicious_behavior_positive_r1_daylight_frontal_oblique,E:/Suspicious_behaviour/20260818232314089_F6B80AMPBVCDD6C_L_0_L0120818232314_1.mp4,ACCEPTED,Daylight stationary dwell above 180-second threshold
P01_suspicious_behavior_negative_r1_low_light_side_oblique,E:/Suspicious_behaviour/20260819001509955_F6B80AMPBVCDD6C_L_0_L0120819001509_1.mp4,ACCEPTED,Low-light brief pass followed by long empty interval
P01_suspicious_behavior_positive_r2_low_light_side_oblique,E:/Suspicious_behaviour/20260818233318116_F6B80AMPBVCDD6C_L_0_L0120818233318_1.mp4,ACCEPTED,Low-light stationary dwell above 180-second threshold
P01_suspicious_behavior_negative_r2_daylight_frontal_oblique,E:/Suspicious_behaviour/20260819001857173_F6B80AMPBVCDD6C_L_0_L0120819001857_1.mp4,ACCEPTED,Daylight brief pass followed by long empty interval; animal distractor retained
P01_theft_positive_r1_daylight_side_oblique,E:/Thef/20260819003558141_F6B80AMPBVCDD6C_L_0_L0120819003558_1.mp4,ACCEPTED,Daylight near vehicle then visibly pushes vehicle
P01_theft_negative_r1_low_light_frontal_oblique,E:/Thef/20260819003458436_F6B80AMPBVCDD6C_L_0_L0120819003458_1.mp4,ACCEPTED,Low-light near stationary vehicle with hands away
P01_theft_positive_r2_low_light_frontal_oblique,E:/Thef/20260819003351180_F6B80AMPBVCDD6C_L_0_L0120819003351_1.mp4,ACCEPTED,Low-light near vehicle then visibly pushes vehicle
P01_theft_negative_r2_daylight_side_oblique,E:/Thef/20260819003659022_F6B80AMPBVCDD6C_L_0_L0120819003659_1.mp4,ACCEPTED,Daylight near stationary vehicle with hands away
P01_line_crossing_positive_r1_daylight_frontal_oblique,E:/SCT_Camera/tmp/loitering_line_review_20260819_1/20260819005555242_F6B80AMPBVCDD6C_L_0_L0120819005555_1.mp4,ACCEPTED,Daylight one physical OUT crossing
P01_line_crossing_negative_r1_low_light_side_oblique,E:/SCT_Camera/tmp/line_negative_review_20260819_2/20260819011132213_F6B80AMPBVCDD6C_L_0_L0120819011132_1.mp4,ACCEPTED,Low-light path remains clear of frozen line
P01_line_crossing_positive_r2_low_light_side_oblique,E:/SCT_Camera/tmp/loitering_line_review_20260819_1/20260819005426306_F6B80AMPBVCDD6C_L_0_L0120819005426_1.mp4,ACCEPTED,Low-light one physical OUT crossing
P01_line_crossing_negative_r2_daylight_frontal_oblique,E:/SCT_Camera/tmp/line_negative_review_20260819_2/20260819011218088_F6B80AMPBVCDD6C_L_0_L0120819011218_1.mp4,ACCEPTED,Daylight path remains clear of frozen line

