experiment_version,clip_id,behavior,event_id,start_seconds,eligible_time_seconds,end_seconds,expected_direction,label,split,group_id,participant_id,repetition,session_id,annotator,reviewer,config_confirmed,annotation_status,notes
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r1_daylight_frontal_oblique,intrusion,gt_P01_intrusion_positive_r1_daylight_frontal_oblique_01,9.0,9.0,12.5,IN,positive,development,development_r1_daylight_frontal_oblique,P01,1,development_r1_daylight_frontal_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Physical IN crossing interval annotated against frozen doorway line
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r1_low_light_side_oblique,intrusion,,,,,,negative,development,development_r1_low_light_side_oblique,P01,1,development_r1_low_light_side_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Single physical OUT crossing; negative for IN-only intrusion
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r1_daylight_side_oblique,loitering,gt_P01_loitering_positive_r1_daylight_side_oblique_01,7.0,27.0,36.735,,positive,development,development_r1_daylight_side_oblique,P01,1,development_r1_daylight_side_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Continuous occupancy; eligible after frozen 20-second dwell
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_negative_r1_low_light_frontal_oblique,loitering,,,,,,negative,development,development_r1_low_light_frontal_oblique,P01,1,development_r1_low_light_frontal_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Accepted low-light negative clip; source reattached and ingested with matching source/canonical SHA-256
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r1_daylight_frontal_oblique,suspicious_behavior,gt_P01_suspicious_behavior_positive_r1_daylight_frontal_oblique_01,0.0,180.0,200.781,,positive,development,development_r1_daylight_frontal_oblique,P01,1,development_r1_daylight_frontal_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Stationary participant visible from clip start; eligible at frozen 180-second dwell
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_negative_r1_low_light_side_oblique,suspicious_behavior,,,,,,negative,development,development_r1_low_light_side_oblique,P01,1,development_r1_low_light_side_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Brief human pass followed by long empty interval
priority-pilot-v2-single-participant-2026-08-18,P01_theft_positive_r1_daylight_side_oblique,theft,gt_P01_theft_positive_r1_daylight_side_oblique_01,20.0,20.0,39.264,,positive,development,development_r1_daylight_side_oblique,P01,1,development_r1_daylight_side_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Visible push begins after at least 10 seconds near the watched vehicle
priority-pilot-v2-single-participant-2026-08-18,P01_theft_negative_r1_low_light_frontal_oblique,theft,,,,,,negative,development,development_r1_low_light_frontal_oblique,P01,1,development_r1_low_light_frontal_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Participant remains near stationary vehicle with hands away and no movement
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r1_daylight_frontal_oblique,line_crossing,gt_P01_line_crossing_positive_r1_daylight_frontal_oblique_01,8.0,8.0,12.5,OUT,positive,development,development_r1_daylight_frontal_oblique,P01,1,development_r1_daylight_frontal_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Single physical OUT crossing interval annotated against frozen doorway line
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r1_low_light_side_oblique,line_crossing,,,,,,negative,development,development_r1_low_light_side_oblique,P01,1,development_r1_low_light_side_oblique,AI_visual_QA_2026-08-19,,YES,VERIFIED,Entire person remains clear of frozen doorway line
